word,synonym,antonym
طبع,"[' چاپ', 'نشر ۲. خو', 'سرشت', 'شیمه', 'منش', 'نهاد ۳. ذوق', 'قریحه', 'شاعری ۴. تمایل', 'گرایش', 'رغبت', 'میل ۵. قریحه', 'استعداد ۶. طبیعت', 'مزاج ۷. ذائقه ۸. رغبت', 'میل ۹. هریک از چهار عنصر اصلی ۱۰. هریک از چهارخلط اصلی', 'اخلاط چهارگانه ۱۱. سلیقه', 'پسند،', 'بالطبع', 'غریزه', 'قریحه', 'زودرنج', 'شیمه', 'سلیقه']",nothing
جهد,"['اهتمام', 'اهتمام', 'تقلا', 'تکاپو', 'تلاش', 'جدیت', 'سعی', 'کوشش', 'مساعی', 'سختکوشی', 'دوندگی', 'کوشش', 'مساعی', 'تکوپو', 'جدیت']","['مبالغه کردن', 'تکاسل']"
باطن,"[' پنهان', 'ناپدید', 'نهان ', 'داخل', 'سرایر', 'ضمیر', 'ناپدید', 'نیت']","[' آشکار', 'آشکارا', 'عیان', 'معلوم  اندرون', 'داخل', 'درون', 'دل', 'ضمیر', 'طینت', 'قلب', 'نیت ', 'بیرون', 'درون', 'برون', 'مخبر', 'معنا']"
زاری,"[' افغان', 'الحاح', 'بیتابی', 'تضرع', 'ضجه', 'ضرع', 'فغان', 'گریه', 'لابه', 'ناله', 'ندبه ۲. بیچارگی', 'خواری', 'نیوه', 'مویه', 'تضرع', 'حنین', 'شیون', 'ضجه', 'فغان', 'گریه', 'بیتابی', 'ندبه']",nothing
گندم,"['حنطه', 'حنط', 'غله', 'غله']",nothing
بیدار,"[' ناخفته', 'ساهر  آگاه', 'متنبه', 'متوجه', 'هشیار', 'هوشیار  متیقظ  عارف', 'واقف ', 'متنبه', 'متوجه']","[' خفته', 'غافل', 'خسبیدن', 'خوابیده', 'هشیار']"
معشوق,"[' جانان', 'دلارام', 'دلبر', 'دلداده', 'دلربا', 'دوست', 'دوستگان', 'شاهد', 'محبوب', 'محبوبه', 'نگار', 'یار  فاسق', 'رفیقه ', 'جانان', 'دلارام', 'سوگلی', 'بت', 'نگارین', 'خانهبرانداز', 'حبیب', 'دلبر', 'دلدار', 'دلستان']","[' عاشق  رفیق ', 'سودازده', 'عاشق']"
مقصود,"['آرزو', 'حاجت', 'خواسته', 'غایت', 'غرض', 'قصد', 'مراد', 'مطلوب', 'منظور', 'نقشه', 'هدف', 'موردنظر', 'هم', 'حاجت', 'غایت', 'غرض', 'قصد', 'پیشنهاد']",['مطلوب']
زرد,"[' صفرا  پژمرده', 'پلاسیده', 'خشک', 'بیطراوت', 'خشک']",['زر']
باک,"[' بیم', 'ترس', 'جبن', 'خوف', 'محابا', 'وحشت', 'هراس  پروا', 'ملاحظه  نگرانی', 'تشویش', 'اضطراب  مخزن (سوخت)', 'جبن', 'واهمه', 'محابا', 'ترس']",['خوف']
خسته,"[' ازپاافتاده', 'کمتوان', 'فرسوده', 'کوفته  فگار', 'مجروح  درمانده', 'زله', 'عاجز', 'کسل', 'مانده', 'بیطاقت', 'وامانده ', 'زله', 'افگار', 'فگار', 'جریحهدار', 'وامانده', 'درمانده', 'کسل']","[' سرحال', 'قبراق']"
ریگ,"['سنگریزه سنگریزه', 'رمل']",['ماسه']
حضور,"[' ظهور', 'وجود ', 'نزد', 'آستان', 'پیشگاه']","[' غیبت  آستان', 'پیشگاه', 'خدمت', 'درگاه  جلوت ', 'جلوت', 'حضر', 'تشریف', 'غیبت']"
شاهان,['ملوک'],['سلاطین']
نبی,"['پیغمبر', 'رسول', 'رسول', 'فرستاده', 'مرسل', 'وخشور', 'وخشور', 'پیغمبر', 'وخشور', 'رسول', 'فرستاده']",['مرسل']
بسا,"[' بسیار', 'چه بسیار  شاید', 'احتمالا']",['بس']
زاهد,"['باتقوا', 'پارسا', 'پرهیزگار', 'عابد', 'متشرع', 'متعبد', 'متقی', 'معتکف', 'ناسک ', 'زهدگرا', 'سجادهنشین', 'کاتوزی', 'متزهد', 'ناسک', 'صومعهنشین', 'عبادتکار', 'عابد', 'متعبد', 'متشرع', 'پرهیزکار']",[' بیتقوا']
محبت,"['انس', 'تولا', 'حب', 'خاطرخواهی', 'دلدادگی', 'دوستی', 'شفقت', 'صمیمیت', 'عشق', 'عطوفت', 'علاقه', 'مصادقت', 'مودت', 'مهر', 'مهربانی', 'ود', 'وداد', 'هواخواهی ', 'مصادقت', 'دلدادگی', 'خلت', 'عاطفه', 'وداد', 'خاطرخواهی', 'حب', 'دلبستگی', 'عشق', 'عطوفت']",[' عداوت']
پیاله,"['جام', 'ساتکین', 'ساغر', 'صراحی', 'قدح', 'کاسه', 'قدح', 'صراحی', 'کاسه']",['طاس']
تاج,"[' افسر', 'دیهیم', 'کلاه', 'کلیل', 'گرزن ۲. جیفه', 'دیهیم', 'کلیل', 'اورنگ']",nothing
قامت,"['اندام', 'بالا', 'تنه', 'قد', 'هیکل', 'قد', 'هیکل', 'اندام']","['بالادار', 'بالا']"
آینه,"['آبگینه', 'آیینه', 'زجاج', 'مرآت', 'مرآت', 'آیینه', 'آبگینه']",nothing
بازار,"[' بازارچه', 'بازارگاه', 'بازارگه', 'تیمچه', 'راسته', 'رسته', 'سوق ', 'بازارچه', 'تیمچه', 'سوق']","[' میدان  معامله', 'خریدوفروش  سروکار']"
شکل,"[' چهره', 'رخسار', 'روی', 'صورت  ساخت', 'فرم', 'قالب', 'هیئت', 'هیکل  طرز', 'گونه', 'وجه', 'وضع  تصویر', 'نقش  شبه', 'مانند', 'مثل', 'فرم', 'هیئت', 'حجم', 'تصویر', 'ریخت', 'شمال']",['بیضوی']
پنجه,"[' برثن', 'چنگال', 'چنگول', 'مخلب ۲. دست', 'چنگال', 'چنگول', 'برثن']",nothing
شور,"[' ذوق', 'شوق', 'وجد', 'هیجان  پرنمک', 'نمکسود', 'نمکین', 'رایزنی', 'کنکاش', 'کنگاش', 'مشاوره', 'رایزنی', 'کنکاش', 'مشاوره', 'مشورت', 'نمکی', 'نمکدار', 'نمکین', 'هیجان']",['حامض']
تخت,"[' اریکه', 'اورنگ', 'پات', 'پیشگاه', 'سریر', 'عرش', 'کرسی', 'مسند  تختگاه', 'سلطنتگاه', 'مرکزحکومت', 'مقر شاه  صاف', 'مستوی', 'مسطح', 'هموار  کف کفش قسمتزیرین کفش', ' تختخواب  اسوده', 'راحت', 'سریر', 'تختخواب تختخواب', 'اریکه', 'پات', 'مصطبه']",['مسطح کردن']
صافی,"[' خالص  بیغش', 'ناب  پاکیزه', 'زلال', 'زلالی  فیلتر  همواری  ترشبالا', 'فیلتر', 'سماقپالا', 'الک', 'زلال', 'آبکش', 'رحیق', 'ناب', 'منقح', 'خالص', 'پاک']","['خمی', 'پاکیزه', 'نرمی']"
حجاب,"[' برقع', 'پوشش', 'جلباب', 'چارقد', 'چارق', 'چاروق', 'روسری', 'رویبند', 'ستر', 'مقصوره', 'نقاب  پرده', 'غشا  حایل', 'پردهداران', 'حاجیان', 'حاجبها', 'دربانان', 'رویبند', 'روسری', 'چارقد', 'غشا', 'حاجب', 'مقصوره', 'پوشش', 'پیچه', 'جلباب']",['ستر']
خالی,"[' پوچ', 'پوک', 'تهی ', 'صفر', 'پوک', 'تهی', 'هیچ']","[' پر', 'سرشار  تخلیه  آزاد', 'رها ', 'انباشتن', 'تخلیه کردن', 'ممتلی', 'خلوت']"
دعوی,"['ادعا', 'خواسته', 'مدعی', 'ادعا', 'لاف']",nothing
بدن,"[' پیکر', 'تنه', 'تن', 'جثه', 'کالبد  بدنه', 'جسم  جسد', 'لاش', 'لاشه ', 'جثه', 'تنه']","[' روح', 'روان', 'کالبد', 'تن', 'جان']"
بوسه,"['بوس', 'قبله', 'ماچ ', 'ماچ', 'بوس']","[' گاز', 'ماچ دادن', 'خوش']"
خلاف,"[' ضد', 'عکس', 'مباین', 'نقیض  مخالف', 'مغایر', 'ناسازگار', 'ناساز', '', 'مباین', 'نقیض', 'تخلف', 'مغایر', 'تخالف', 'جنایت', 'سرپیچی']","[' موافق', 'سازگار  تخطی', 'تخلف', 'سرپیچی  جرم', 'گناه  ناروا', 'ناحق ']"
